"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","622","test_get_echoes_args","tests.api","Fri Feb 27 14:00:51 UTC 2026","passed","Fri Feb 27 14:00:52 UTC 2026","","test_httpbin_get","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","731","test_login_invalid_credentials[credentials1]","tests.ui","Fri Feb 27 14:01:01 UTC 2026","passed","Fri Feb 27 14:01:02 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","855","test_login_logout[credentials1]","tests.ui","Fri Feb 27 14:01:08 UTC 2026","passed","Fri Feb 27 14:01:09 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (User)","760","test_login_user_credentials","tests.ui","Fri Feb 27 14:01:04 UTC 2026","passed","Fri Feb 27 14:01:05 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (Admin)","819","test_login_flow_admin","tests.ui","Fri Feb 27 14:01:05 UTC 2026","passed","Fri Feb 27 14:01:06 UTC 2026","","test_login_flow","",""
"Dummy test that validates pagination controls are present on page","535","test_pagination_controls_are_accessible[1]","tests.ui","Fri Feb 27 14:01:14 UTC 2026","passed","Fri Feb 27 14:01:14 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","861","test_login_logout[credentials0]","tests.ui","Fri Feb 27 14:01:06 UTC 2026","passed","Fri Feb 27 14:01:07 UTC 2026","","test_login_flow","",""
"Dummy test that validates pagination controls are present on page","566","test_pagination_controls_are_accessible[2]","tests.ui","Fri Feb 27 14:01:15 UTC 2026","passed","Fri Feb 27 14:01:15 UTC 2026","","test_product_listing_pagination","",""
"Verify total number of products in each category matches expected values","3510","test_product_listing_page_loads","tests.ui","Fri Feb 27 14:01:09 UTC 2026","passed","Fri Feb 27 14:01:12 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","794","test_login_invalid_credentials[credentials0]","tests.ui","Fri Feb 27 14:01:00 UTC 2026","passed","Fri Feb 27 14:01:01 UTC 2026","","test_login_flow","",""
"Locate a specific product in the listing and verify which page it is on","506","test_product_listing_has_categories","tests.ui","Fri Feb 27 14:01:13 UTC 2026","passed","Fri Feb 27 14:01:13 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user tries to login without entering username and password, an appropriate error message is displayed","1511","test_login_without_credentials","tests.ui","Fri Feb 27 14:00:58 UTC 2026","passed","Fri Feb 27 14:00:59 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","725","test_login_invalid_credentials[credentials2]","tests.ui","Fri Feb 27 14:01:02 UTC 2026","passed","Fri Feb 27 14:01:03 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","745","test_login_invalid_credentials[credentials3]","tests.ui","Fri Feb 27 14:01:03 UTC 2026","passed","Fri Feb 27 14:01:04 UTC 2026","","test_login_flow","",""
