"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1287","test_get_echoes_args","tests.api","Mon Feb 23 13:15:02 UTC 2026","passed","Mon Feb 23 13:15:03 UTC 2026","","test_httpbin_get","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","959","test_login_invalid_credentials[credentials0]","tests.ui","Mon Feb 23 13:15:14 UTC 2026","passed","Mon Feb 23 13:15:15 UTC 2026","","test_login_flow","",""
"This test verifies that if a user tries to login without entering username and password, an appropriate error message is displayed","1850","test_login_without_credentials","tests.ui","Mon Feb 23 13:15:12 UTC 2026","passed","Mon Feb 23 13:15:14 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","991","test_login_logout[credentials0]","tests.ui","Mon Feb 23 13:15:21 UTC 2026","passed","Mon Feb 23 13:15:22 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (User)","877","test_login_user_credentials","tests.ui","Mon Feb 23 13:15:19 UTC 2026","passed","Mon Feb 23 13:15:20 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","869","test_login_invalid_credentials[credentials1]","tests.ui","Mon Feb 23 13:15:15 UTC 2026","passed","Mon Feb 23 13:15:16 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","948","test_login_logout[credentials1]","tests.ui","Mon Feb 23 13:15:22 UTC 2026","passed","Mon Feb 23 13:15:23 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","793","test_login_invalid_credentials[credentials3]","tests.ui","Mon Feb 23 13:15:18 UTC 2026","passed","Mon Feb 23 13:15:19 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (Admin)","819","test_login_flow_admin","tests.ui","Mon Feb 23 13:15:20 UTC 2026","passed","Mon Feb 23 13:15:21 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","871","test_login_invalid_credentials[credentials2]","tests.ui","Mon Feb 23 13:15:17 UTC 2026","passed","Mon Feb 23 13:15:17 UTC 2026","","test_login_flow","",""
