"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that if a user tries to login without entering username and password, an appropriate error message is displayed","1374","test_login_without_credentials","tests.ui","Mon Feb 23 15:35:54 UTC 2026","passed","Mon Feb 23 15:35:56 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","894","test_login_invalid_credentials[credentials2]","tests.ui","Mon Feb 23 15:35:58 UTC 2026","passed","Mon Feb 23 15:35:59 UTC 2026","","test_login_flow","",""
"Dummy test that checks category tuples are collected from visible cards","683","test_product_listing_has_categories","tests.ui","Mon Feb 23 15:36:07 UTC 2026","passed","Mon Feb 23 15:36:07 UTC 2026","","test_product_listing_pagination","",""
"Dummy test that validates pagination controls are present on page","658","test_pagination_controls_are_accessible[1]","tests.ui","Mon Feb 23 15:36:08 UTC 2026","passed","Mon Feb 23 15:36:08 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","915","test_login_invalid_credentials[credentials3]","tests.ui","Mon Feb 23 15:36:00 UTC 2026","passed","Mon Feb 23 15:36:01 UTC 2026","","test_login_flow","",""
"Dummy test that validates pagination controls are present on page","732","test_pagination_controls_are_accessible[2]","tests.ui","Mon Feb 23 15:36:09 UTC 2026","passed","Mon Feb 23 15:36:10 UTC 2026","","test_product_listing_pagination","",""
"Dummy smoke test that verifies the pagination page loads successfully and user lands on expected URL path","603","test_product_listing_page_loads","tests.ui","Mon Feb 23 15:36:06 UTC 2026","passed","Mon Feb 23 15:36:06 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","886","test_login_invalid_credentials[credentials1]","tests.ui","Mon Feb 23 15:35:57 UTC 2026","passed","Mon Feb 23 15:35:58 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","936","test_login_logout[credentials0]","tests.ui","Mon Feb 23 15:36:03 UTC 2026","passed","Mon Feb 23 15:36:04 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (Admin)","850","test_login_flow_admin","tests.ui","Mon Feb 23 15:36:02 UTC 2026","passed","Mon Feb 23 15:36:03 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (User)","845","test_login_user_credentials","tests.ui","Mon Feb 23 15:36:01 UTC 2026","passed","Mon Feb 23 15:36:02 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","928","test_login_logout[credentials1]","tests.ui","Mon Feb 23 15:36:05 UTC 2026","passed","Mon Feb 23 15:36:06 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","950","test_login_invalid_credentials[credentials0]","tests.ui","Mon Feb 23 15:35:56 UTC 2026","passed","Mon Feb 23 15:35:57 UTC 2026","","test_login_flow","",""
"","586","test_get_echoes_args","tests.api","Mon Feb 23 15:35:48 UTC 2026","passed","Mon Feb 23 15:35:49 UTC 2026","","test_httpbin_get","",""
