"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (User)","350","test_login_user_credentials","tests.ui","Mon Mar 09 15:34:38 UTC 2026","passed","Mon Mar 09 15:34:39 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (Admin)","347","test_login_flow_admin","tests.ui","Mon Mar 09 15:34:40 UTC 2026","passed","Mon Mar 09 15:34:40 UTC 2026","","test_login_flow","",""
"Verify total number of products in each category matches expected values","3436","test_product_listing_page_loads","tests.ui","Mon Mar 09 15:34:44 UTC 2026","passed","Mon Mar 09 15:34:47 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","594","test_login_logout[credentials0]","tests.ui","Mon Mar 09 15:34:41 UTC 2026","passed","Mon Mar 09 15:34:41 UTC 2026","","test_login_flow","",""
"Validate pagination controls keep the user on product listing page","116","test_pagination_controls_are_accessible[1]","tests.ui","Mon Mar 09 15:34:49 UTC 2026","passed","Mon Mar 09 15:34:49 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user tries to login without entering username and password, an appropriate error message is displayed","385","test_login_without_credentials","tests.ui","Mon Mar 09 15:34:33 UTC 2026","passed","Mon Mar 09 15:34:33 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","327","test_login_invalid_credentials[credentials2]","tests.ui","Mon Mar 09 15:34:36 UTC 2026","passed","Mon Mar 09 15:34:37 UTC 2026","","test_login_flow","",""
"Locate a specific product in the listing and verify it exists","417","test_product_listing_contains_known_product","tests.ui","Mon Mar 09 15:34:48 UTC 2026","passed","Mon Mar 09 15:34:48 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","320","test_login_invalid_credentials[credentials3]","tests.ui","Mon Mar 09 15:34:37 UTC 2026","passed","Mon Mar 09 15:34:38 UTC 2026","","test_login_flow","",""
"","290","test_get_echoes_args","tests.api","Mon Mar 09 15:34:10 UTC 2026","passed","Mon Mar 09 15:34:10 UTC 2026","","test_httpbin_get","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","477","test_login_logout[credentials1]","tests.ui","Mon Mar 09 15:34:42 UTC 2026","passed","Mon Mar 09 15:34:43 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","328","test_login_invalid_credentials[credentials1]","tests.ui","Mon Mar 09 15:34:35 UTC 2026","passed","Mon Mar 09 15:34:35 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","513","test_login_invalid_credentials[credentials0]","tests.ui","Mon Mar 09 15:34:34 UTC 2026","passed","Mon Mar 09 15:34:34 UTC 2026","","test_login_flow","",""
"Validate pagination controls keep the user on product listing page","175","test_pagination_controls_are_accessible[2]","tests.ui","Mon Mar 09 15:34:50 UTC 2026","passed","Mon Mar 09 15:34:50 UTC 2026","","test_product_listing_pagination","",""
