"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate pagination controls keep the user on product listing page","103","test_pagination_controls_are_accessible[1]","tests.ui","Sat Feb 28 11:36:39 UTC 2026","passed","Sat Feb 28 11:36:39 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user tries to login without entering username and password, an appropriate error message is displayed","204","test_login_without_credentials","tests.ui","Sat Feb 28 11:36:24 UTC 2026","passed","Sat Feb 28 11:36:24 UTC 2026","","test_login_flow","",""
"Locate a specific product in the listing and verify it exists","350","test_product_listing_contains_known_product","tests.ui","Sat Feb 28 11:36:37 UTC 2026","passed","Sat Feb 28 11:36:38 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","308","test_login_invalid_credentials[credentials3]","tests.ui","Sat Feb 28 11:36:28 UTC 2026","passed","Sat Feb 28 11:36:28 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","313","test_login_invalid_credentials[credentials2]","tests.ui","Sat Feb 28 11:36:27 UTC 2026","passed","Sat Feb 28 11:36:27 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","469","test_login_logout[credentials0]","tests.ui","Sat Feb 28 11:36:31 UTC 2026","passed","Sat Feb 28 11:36:32 UTC 2026","","test_login_flow","",""
"","595","test_get_echoes_args","tests.api","Sat Feb 28 11:36:15 UTC 2026","passed","Sat Feb 28 11:36:15 UTC 2026","","test_httpbin_get","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","419","test_login_logout[credentials1]","tests.ui","Sat Feb 28 11:36:32 UTC 2026","passed","Sat Feb 28 11:36:33 UTC 2026","","test_login_flow","",""
"Validate pagination controls keep the user on product listing page","127","test_pagination_controls_are_accessible[2]","tests.ui","Sat Feb 28 11:36:39 UTC 2026","passed","Sat Feb 28 11:36:40 UTC 2026","","test_product_listing_pagination","",""
"Verify total number of products in each category matches expected values","3045","test_product_listing_page_loads","tests.ui","Sat Feb 28 11:36:34 UTC 2026","passed","Sat Feb 28 11:36:37 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","307","test_login_invalid_credentials[credentials1]","tests.ui","Sat Feb 28 11:36:26 UTC 2026","passed","Sat Feb 28 11:36:26 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","389","test_login_invalid_credentials[credentials0]","tests.ui","Sat Feb 28 11:36:25 UTC 2026","passed","Sat Feb 28 11:36:25 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (User)","337","test_login_user_credentials","tests.ui","Sat Feb 28 11:36:29 UTC 2026","passed","Sat Feb 28 11:36:29 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (Admin)","330","test_login_flow_admin","tests.ui","Sat Feb 28 11:36:30 UTC 2026","passed","Sat Feb 28 11:36:31 UTC 2026","","test_login_flow","",""
