"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","970","test_login_logout[credentials0]","tests.ui","Fri Feb 27 14:18:09 UTC 2026","passed","Fri Feb 27 14:18:10 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","812","test_login_invalid_credentials[credentials1]","tests.ui","Fri Feb 27 14:18:03 UTC 2026","passed","Fri Feb 27 14:18:04 UTC 2026","","test_login_flow","",""
"This test verifies that if a user tries to login without entering username and password, an appropriate error message is displayed","2890","test_login_without_credentials","tests.ui","Fri Feb 27 14:17:58 UTC 2026","passed","Fri Feb 27 14:18:01 UTC 2026","","test_login_flow","",""
"Verify total number of products in each category matches expected values","4030","test_product_listing_page_loads","tests.ui","Fri Feb 27 14:18:12 UTC 2026","passed","Fri Feb 27 14:18:16 UTC 2026","","test_product_listing_pagination","",""
"Dummy test that validates pagination controls are present on page","620","test_pagination_controls_are_accessible[1]","tests.ui","Fri Feb 27 14:18:17 UTC 2026","passed","Fri Feb 27 14:18:18 UTC 2026","","test_product_listing_pagination","",""
"Locate a specific product in the listing and verify which page it is on","575","test_product_listing_has_categories","tests.ui","Fri Feb 27 14:18:16 UTC 2026","passed","Fri Feb 27 14:18:17 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","784","test_login_invalid_credentials[credentials3]","tests.ui","Fri Feb 27 14:18:05 UTC 2026","passed","Fri Feb 27 14:18:06 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","1012","test_login_logout[credentials1]","tests.ui","Fri Feb 27 14:18:10 UTC 2026","passed","Fri Feb 27 14:18:11 UTC 2026","","test_login_flow","",""
"","285","test_get_echoes_args","tests.api","Fri Feb 27 14:17:49 UTC 2026","passed","Fri Feb 27 14:17:49 UTC 2026","","test_httpbin_get","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (Admin)","836","test_login_flow_admin","tests.ui","Fri Feb 27 14:18:08 UTC 2026","passed","Fri Feb 27 14:18:09 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","794","test_login_invalid_credentials[credentials2]","tests.ui","Fri Feb 27 14:18:04 UTC 2026","passed","Fri Feb 27 14:18:05 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (User)","920","test_login_user_credentials","tests.ui","Fri Feb 27 14:18:07 UTC 2026","passed","Fri Feb 27 14:18:07 UTC 2026","","test_login_flow","",""
"Dummy test that validates pagination controls are present on page","654","test_pagination_controls_are_accessible[2]","tests.ui","Fri Feb 27 14:18:18 UTC 2026","passed","Fri Feb 27 14:18:19 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","869","test_login_invalid_credentials[credentials0]","tests.ui","Fri Feb 27 14:18:02 UTC 2026","passed","Fri Feb 27 14:18:03 UTC 2026","","test_login_flow","",""
