"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","106","test_get_echoes_args","tests.api","Mon Feb 23 15:22:06 UTC 2026","passed","Mon Feb 23 15:22:06 UTC 2026","","test_httpbin_get","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (User)","745","test_login_user_credentials","tests.ui","Mon Feb 23 15:22:13 UTC 2026","passed","Mon Feb 23 15:22:13 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","835","test_login_logout[credentials0]","tests.ui","Mon Feb 23 15:22:15 UTC 2026","passed","Mon Feb 23 15:22:16 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","759","test_login_invalid_credentials[credentials1]","tests.ui","Mon Feb 23 15:22:09 UTC 2026","passed","Mon Feb 23 15:22:10 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (Admin)","1023","test_login_flow_admin","tests.ui","Mon Feb 23 15:22:14 UTC 2026","passed","Mon Feb 23 15:22:15 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","733","test_login_invalid_credentials[credentials2]","tests.ui","Mon Feb 23 15:22:10 UTC 2026","passed","Mon Feb 23 15:22:11 UTC 2026","","test_login_flow","",""
"This test verifies that if a user tries to login without entering username and password, an appropriate error message is displayed","859","test_login_without_credentials","tests.ui","Mon Feb 23 15:22:07 UTC 2026","passed","Mon Feb 23 15:22:08 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","862","test_login_logout[credentials1]","tests.ui","Mon Feb 23 15:22:16 UTC 2026","passed","Mon Feb 23 15:22:17 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","746","test_login_invalid_credentials[credentials0]","tests.ui","Mon Feb 23 15:22:08 UTC 2026","passed","Mon Feb 23 15:22:09 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","746","test_login_invalid_credentials[credentials3]","tests.ui","Mon Feb 23 15:22:12 UTC 2026","passed","Mon Feb 23 15:22:12 UTC 2026","","test_login_flow","",""
