"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","932","test_login_logout[credentials0]","tests.ui","Mon Feb 23 13:07:56 UTC 2026","passed","Mon Feb 23 13:07:57 UTC 2026","","test_login_flow","",""
"This test verifies that if a user tries to login without entering username and password, an appropriate error message is displayed","1114","test_login_without_credentials","tests.ui","Mon Feb 23 13:07:47 UTC 2026","passed","Mon Feb 23 13:07:49 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","761","test_login_invalid_credentials[credentials2]","tests.ui","Mon Feb 23 13:07:51 UTC 2026","passed","Mon Feb 23 13:07:52 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","808","test_login_invalid_credentials[credentials3]","tests.ui","Mon Feb 23 13:07:52 UTC 2026","passed","Mon Feb 23 13:07:53 UTC 2026","","test_login_flow","",""
"","923","test_get_echoes_args","tests.api","Mon Feb 23 13:07:45 UTC 2026","passed","Mon Feb 23 13:07:45 UTC 2026","","test_httpbin_get","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","744","test_login_invalid_credentials[credentials1]","tests.ui","Mon Feb 23 13:07:50 UTC 2026","passed","Mon Feb 23 13:07:51 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","787","test_login_invalid_credentials[credentials0]","tests.ui","Mon Feb 23 13:07:49 UTC 2026","passed","Mon Feb 23 13:07:50 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (User)","845","test_login_user_credentials","tests.ui","Mon Feb 23 13:07:54 UTC 2026","passed","Mon Feb 23 13:07:54 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (Admin)","834","test_login_flow_admin","tests.ui","Mon Feb 23 13:07:55 UTC 2026","passed","Mon Feb 23 13:07:56 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","928","test_login_logout[credentials1]","tests.ui","Mon Feb 23 13:07:57 UTC 2026","passed","Mon Feb 23 13:07:58 UTC 2026","","test_login_flow","",""
