"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","328","test_login_invalid_credentials[credentials3]","tests.ui","Mon Mar 09 15:21:46 UTC 2026","passed","Mon Mar 09 15:21:47 UTC 2026","","test_login_flow","",""
"","309","test_get_echoes_args","tests.api","Mon Mar 09 15:21:34 UTC 2026","passed","Mon Mar 09 15:21:34 UTC 2026","","test_httpbin_get","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","441","test_login_logout[credentials0]","tests.ui","Mon Mar 09 15:21:50 UTC 2026","passed","Mon Mar 09 15:21:51 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","327","test_login_invalid_credentials[credentials1]","tests.ui","Mon Mar 09 15:21:44 UTC 2026","passed","Mon Mar 09 15:21:44 UTC 2026","","test_login_flow","",""
"Validate pagination controls keep the user on product listing page","170","test_pagination_controls_are_accessible[2]","tests.ui","Mon Mar 09 15:22:00 UTC 2026","passed","Mon Mar 09 15:22:00 UTC 2026","","test_product_listing_pagination","",""
"Locate a specific product in the listing and verify it exists","430","test_product_listing_contains_known_product","tests.ui","Mon Mar 09 15:21:57 UTC 2026","passed","Mon Mar 09 15:21:58 UTC 2026","","test_product_listing_pagination","",""
"Validate pagination controls keep the user on product listing page","128","test_pagination_controls_are_accessible[1]","tests.ui","Mon Mar 09 15:21:59 UTC 2026","passed","Mon Mar 09 15:21:59 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user tries to login without entering username and password, an appropriate error message is displayed","187","test_login_without_credentials","tests.ui","Mon Mar 09 15:21:41 UTC 2026","passed","Mon Mar 09 15:21:42 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","439","test_login_logout[credentials1]","tests.ui","Mon Mar 09 15:21:51 UTC 2026","passed","Mon Mar 09 15:21:52 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (User)","370","test_login_user_credentials","tests.ui","Mon Mar 09 15:21:48 UTC 2026","passed","Mon Mar 09 15:21:48 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (Admin)","355","test_login_flow_admin","tests.ui","Mon Mar 09 15:21:49 UTC 2026","passed","Mon Mar 09 15:21:49 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","327","test_login_invalid_credentials[credentials2]","tests.ui","Mon Mar 09 15:21:45 UTC 2026","passed","Mon Mar 09 15:21:45 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","361","test_login_invalid_credentials[credentials0]","tests.ui","Mon Mar 09 15:21:43 UTC 2026","passed","Mon Mar 09 15:21:43 UTC 2026","","test_login_flow","",""
"Verify total number of products in each category matches expected values","3350","test_product_listing_page_loads","tests.ui","Mon Mar 09 15:21:53 UTC 2026","passed","Mon Mar 09 15:21:56 UTC 2026","","test_product_listing_pagination","",""
