"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate pagination controls keep the user on product listing page","104","test_pagination_controls_are_accessible[1]","tests.ui","Sat Feb 28 11:22:19 UTC 2026","passed","Sat Feb 28 11:22:19 UTC 2026","","test_product_listing_pagination","",""
"Locate a specific product in the listing and verify it exists","343","test_product_listing_contains_known_product","tests.ui","Sat Feb 28 11:22:18 UTC 2026","passed","Sat Feb 28 11:22:18 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","356","test_login_invalid_credentials[credentials0]","tests.ui","Sat Feb 28 11:22:05 UTC 2026","passed","Sat Feb 28 11:22:06 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","416","test_login_logout[credentials0]","tests.ui","Sat Feb 28 11:22:12 UTC 2026","passed","Sat Feb 28 11:22:12 UTC 2026","","test_login_flow","",""
"Validate pagination controls keep the user on product listing page","137","test_pagination_controls_are_accessible[2]","tests.ui","Sat Feb 28 11:22:20 UTC 2026","passed","Sat Feb 28 11:22:20 UTC 2026","","test_product_listing_pagination","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (Admin)","334","test_login_flow_admin","tests.ui","Sat Feb 28 11:22:11 UTC 2026","passed","Sat Feb 28 11:22:11 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","317","test_login_invalid_credentials[credentials3]","tests.ui","Sat Feb 28 11:22:09 UTC 2026","passed","Sat Feb 28 11:22:09 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","304","test_login_invalid_credentials[credentials2]","tests.ui","Sat Feb 28 11:22:08 UTC 2026","passed","Sat Feb 28 11:22:08 UTC 2026","","test_login_flow","",""
"This test verifies that if a user enters invalid credentials, an appropriate error message is displayed","309","test_login_invalid_credentials[credentials1]","tests.ui","Sat Feb 28 11:22:07 UTC 2026","passed","Sat Feb 28 11:22:07 UTC 2026","","test_login_flow","",""
"","707","test_get_echoes_args","tests.api","Sat Feb 28 11:22:02 UTC 2026","passed","Sat Feb 28 11:22:03 UTC 2026","","test_httpbin_get","",""
"This test verifies that if a user tries to login without entering username and password, an appropriate error message is displayed","166","test_login_without_credentials","tests.ui","Sat Feb 28 11:22:05 UTC 2026","passed","Sat Feb 28 11:22:05 UTC 2026","","test_login_flow","",""
"This test verifies that after a user logs in successfully, they can click the logout button and are returned to the login page with the session cleared","410","test_login_logout[credentials1]","tests.ui","Sat Feb 28 11:22:13 UTC 2026","passed","Sat Feb 28 11:22:13 UTC 2026","","test_login_flow","",""
"This test verifies that when a user enters valid credentials, they are successfully logged in and directed to the correct dashboard based on their role (User)","325","test_login_user_credentials","tests.ui","Sat Feb 28 11:22:10 UTC 2026","passed","Sat Feb 28 11:22:10 UTC 2026","","test_login_flow","",""
"Verify total number of products in each category matches expected values","3044","test_product_listing_page_loads","tests.ui","Sat Feb 28 11:22:14 UTC 2026","passed","Sat Feb 28 11:22:17 UTC 2026","","test_product_listing_pagination","",""
